reviewText,label
"AGAIN TIESTO GIVES US ONE MORE REASON TO HATE HIM, WHY CAN""T HE JUST GO AWAY AND LEAVE US ALL ALONE?",negative
"For a creative artist like Nanci Griffith to release an album of old stuff like this is disappointing.  There's already a cheap-o greatest hits CD and a retrospective CD out on MCA with almost all these songs on it.
There's nothing wrong with any of these songs; they're the songs that made many people fans of Nanci Griffith.  Those people are still waiting for a Nanci Griffith album.  Disappointing.",negative
"Music great, CD case was broken.",negative
"this cat got a formula that works for him, however there ain't alot  depth in his writing or his material on a whole. basically he is like a country version of T Pain and you see where his career is these days? Country has furthered moved away and every era in country since the 90's its gotta more commerical and generic. he got his audience who is cool with it,however its so predictable.",negative
"Over the past 50 years, there have been literally hundreds of thousands of albums released, in all musical genres.  While The Village People can be fun at wedding receptions, bachelor parties, or anyplace where large amounts of alcohol are consumed, hearing them always takes me back to my number one musical philosophy...

Life is too short to listen to bad music.",negative
Skips...Gave it to my daughter for her birthday...It should have never been sold,negative
"I don't know why Kenny G put his horn to actual classics. He is much better suited to play his own compositions, which are shallow, like his playing, and his improvisational skills, which don't exist.",negative
"On 12.29, I'm waiting out in the Colorado cold to see if I could get Jim Heath's (The Reverend Horton Heat) signature on a poster. First, he said, ""Do you have a pen?"" I said I did, and pulled out a blue sharpie. He next said, ""Is it blue?"" I said it was. He proceeded to tell me he ""doesn't do blue pens,"" and boarded his luxury motorhome. Please do not support Jim Heath. Jimbo and Scott Churilla signed the poster with out hesitation. Jimbo even took the time to take a picture with us.",negative
how many more hints do pop stars have to make before we figure out that they're all inmto the occult.,negative
"My wife and I had never heard of Norah Jones until the day after the Grammys this year when she carted home all sorts of trinkets.  My wife assumed that winning the best pop artist award would signify a good pop album and thus picked up the disc.  Wrong.  Norah is a beautiful young woman and has a lovely voice, but the songs just have no spark.  It was like listening to CSPAN with a piano.  I can only assume that she received attention and overhype due to her father Ravi Shankar who was idolized by the Beatles (George Harrison in particular).  But that connection doesn't make you great.
I hope Norah ups the tempo on her next CD (it won't be hard to do) and maybe we can see what type of Pop Chops she has.  But her career has Lauren Hill and Taste of Honey potential, so I hope she enjoys the success she's getting.  I know I'll enjoy my sleep after listening to this.",negative
"This is the reason why Grokster/Kazaa need to exist.  There are only 3 songs worth listening too on this album and low and behold one of them is there single(hold me back from the shock).  Porcelain, Freak Of Nature, and Haunted are the only three songs worth wasting any effort of listening too.  If you are looking for an arena industrial rock album you should pick up any Manson album cause even though his artistic vision has majorly declined, albums like this one makes Manson out to be a genious which is sad.  I give this a one star rating because even the 3 decent songs on this album aren't even all that great.  My question to Sinisstar is ""why bother?""",negative
"The Caribbean prophet knew how to cook a tune. Personally, I believe that it was his voice that made everything of his sometimes relaxing and sometimes causing an uprising. It's that passion. First sign of this:
Roots, Rock, Reggae in which Marley's voice hangs with an effortless timbre, 'just some reggae music' is the message. Johnny Was is like a protest against 'the system'. What's always interesting is how The Wailers compliment Marley by producing a soulful, balanced, accompaniment. Another example of perfect rhythm and vocals from the depths is Crazy Baldhead. If you've every wondered why everyone still goes on about Bob Marley, War is a reason why. He had a voice that carried concerns and dreams, 'until the colour of a man's skin is of no more significance than the colour of his eyes, it's war'.
Although Rastaman Vibration is exactly what it says it is, I wish a lot of albums are exactly what they say they are. I wish bands, groups and single performers would stop spending billions of dollars, making overproduced songs, and start making true music again. Music that speaks for itself not just some moneymaking image.",negative
