reviewText,label
"I loved the Monkees and think that Michael Nesmith, as a solo artist, is superb!  Besides his wonderful voice he is quirky, clever and so much fun to listen to.",positive
Frank is in fantastic voice on this CD. Especially enjoyed the song: With Every Breath I Take!  Only CD I could find this song on.,positive
"This is a great product. It's totally Roger Waters, but with the kind of biting, contemporary (even though nearly
20 years old) lyrics that we saw in The Wall and The Final Cut. And with a handful of live cuts to boot. Songs such as ""Flickering Flame"" and ""Each Small Candle"" are as good as anything he's written. Certainly a must have for the Roger Waters fan.",positive
"With their major label debut, the Avett Bros. should hopefully be receiving even more attention than before, and well deserved it will be.  The new album, I and Love and You, contains all of the good things that the Brothers represent, musically.  There are satisfying harmonies, some great playing of instruments (primarily acoustic), and most of all, a very good baker's dozen of new tunes.  Style-wise, the band's music is often considered New Folk, or Americana, or another roots-based category.  For me, I prefer to just put them in a ""favorite songs"" category and leave it at that.  So we do get a fair share of 6-string, banjo, piano, and even the occasional tuba, but the instrumentation is in service of the good songs.  (It's not all acoustic.  A few cuts such as ""Kick Drum Heart"" and ""Slight Figure of Speech"" have a more standard rock sound.)  Perhaps one fear Avett fans had about the jump to a major was that they would be paired up with a producer who would water down their music, but Rick Rubin did a terrific job with I and Love and You.  In this day of so many overproduced recordings, it's nice to hear a pure and clean version of the Avett Brothers that allows all of their joy in the music to come out.",positive
love it,positive
"I have this on vinyl, but I needed it for the car and for work.  Heather is amazing.",positive
"I love Judy Collins and her music.  Her first Christmas album here was released in 1994.  The arrangements with which these songs are recorded is SUPERB!  The title track is a song Judy wrote herself and is simply stunning.  Most of the other songs here are light, pretty, calming, and classfully done.  The exceptions are ""Joy To The World"" and ""Good King Wenceslas"" which are more uptempo and full in their song structure.  Judy's classic ""Amazing Grace"" closes out the album in a different arrangement than the original. It's the perfect CD to insert into your player when the lights in your home are turned off and the Christmas tree, candles, and other decorations are lite up on a peaceful winter's night.  A classy Christmas CD indeed from a classy lady, and heartily recommended.",positive
Many great memories.,positive
"You probably know by now if you like RUSH, but you might not yet realize how much. The audio quality of this remastered vinyl is nothing short of astonishing. The space, clarity, separation, and complete lack of background noise is enthralling. Frankly, this blows away all of the other high-quality LPs I own. The vinyl itself is heavy, impeccably packaged, and comes with an awesome sticker.

I've submitted this review for Fly By Night, the first in this series of reissues, but the same is true of at least 2112, Farewell To Kings, Hemispheres, Permanent Waves, and Moving Pictures.",positive
"This was the first S&G album I ever heard and I think it's probably their best work. Simon's lyrics have rarely been more crisp, and the haunting refrain of loneliness touches every song on this album. The bonus tracks are largely filler compared with the rest of the album, but this is quintessential folk rock at its apex.",positive
