arch,lambdaval,acc,fone
21-2-1,0.01,0.7893267317778984,0.8606324541995107
21-2-1,0.05,0.7766956049918611,0.8519582591392822
21-2-1,0.1,0.7893057062759994,0.8618513207689276
21-2-1,0.3,0.7976614215952251,0.8685054663646214
21-4-1,0.01,0.7707051455959487,0.8451744443057867
21-4-1,0.05,0.7581823114487249,0.8372224557214416
21-4-1,0.1,0.7790613130765056,0.8549164371731843
21-4-1,0.3,0.7935811177428105,0.8651942587375974
21-8-1,0.01,0.7603529119189727,0.8380894371339297
21-8-1,0.05,0.762284545125701,0.8391592139224539
21-8-1,0.1,0.7665165491047204,0.8446777648190917
21-8-1,0.3,0.7893705914270213,0.8620951596384983
21-16-1,0.01,0.7500006782419968,0.8299790976909124
21-16-1,0.05,0.7666252939048652,0.8436491454443702
21-16-1,0.1,0.7707704829083017,0.8470571036549727
21-16-1,0.3,0.7894139989148128,0.8624564273990496
21-32-16-1,0.01,0.7415581479471876,0.8232779429002557
21-32-16-1,0.05,0.7519752667751854,0.8326535749900159
21-32-16-1,0.1,0.7581174262977031,0.8387067619848743
21-32-16-1,0.3,0.795599565925122,0.8669058512146706
21-8-4-1,0.01,0.7393875474769398,0.8182431742522184
21-8-4-1,0.05,0.7831630945921505,0.8553301936885145
21-8-4-1,0.1,0.7499563664315427,0.8291609977324264
21-8-4-1,0.3,0.7893925212515827,0.8621797901502978
21-16-8-4-1,0.01,0.7458541327545669,0.8232139699966282
21-16-8-4-1,0.05,0.747720428648942,0.8271207053815749
21-16-8-4-1,0.1,0.7519971965997467,0.8337048562955947
21-16-8-4-1,0.3,0.7914324470971243,0.8641691136792753
21-16-8-4-2-1,0.01,0.7788223458129859,0.8509484571680958
21-16-8-4-2-1,0.05,0.7626098752034727,0.8485194062659953
21-16-8-4-2-1,0.1,0.7537995116657623,0.8449187537332632
21-16-8-4-2-1,0.3,0.6916833966359197,0.8177425418146521
21-32-64-32-1,0.01,0.7437278440947731,0.824858823193386
21-32-64-32-1,0.05,0.7436414812805209,0.8246944681881688
21-32-64-32-1,0.1,0.7686437420871768,0.8456840106917755
21-32-64-32-1,0.3,0.7976614215952251,0.8684575753526016
