arch,lambdaval,acc,fone
7-2-1,0.01,0.868888888888889,0.8644507467328433
7-2-1,0.05,0.868888888888889,0.8644507467328433
7-2-1,0.1,0.8666666666666666,0.8621912855927455
7-2-1,0.3,0.8677777777777778,0.863448189039708
7-4-1,0.01,0.8688888888888888,0.8644608395818653
7-4-1,0.05,0.8688888888888888,0.8647355453615472
7-4-1,0.1,0.8655555555555555,0.8614953185473665
7-4-1,0.3,0.8655555555555555,0.8620628896950038
7-8-1,0.01,0.8644444444444443,0.8608200298619737
7-8-1,0.05,0.8700000000000001,0.8669586296056885
7-8-1,0.1,0.8644444444444443,0.8608200298619737
7-8-1,0.3,0.8655555555555555,0.8623415954744521
7-16-1,0.01,0.8655555555555555,0.862681198400262
7-16-1,0.05,0.8666666666666668,0.8637338683599378
7-16-1,0.1,0.8655555555555555,0.8623415954744521
7-16-1,0.3,0.8655555555555555,0.8623415954744521
7-8-4-1,0.01,0.8699999999999999,0.8649952880376957
7-8-4-1,0.05,0.868888888888889,0.8639870880108104
7-8-4-1,0.1,0.8677777777777778,0.8626030151522102
7-8-4-1,0.3,0.8655555555555555,0.8612079622255274
7-16-8-4-1,0.01,0.8722222222222221,0.8665930061722069
7-16-8-4-1,0.05,0.8699999999999999,0.8646094071010746
7-16-8-4-1,0.1,0.8688888888888888,0.8636094071010746
7-16-8-4-1,0.3,0.8688888888888888,0.8638742015928882
7-16-8-4-2-1,0.01,0.8677777777777778,0.8618353398082995
7-16-8-4-2-1,0.05,0.7333333333333332,0.6777644604212731
7-16-8-4-2-1,0.1,0.8388888888888889,0.8266847863060208
7-16-8-4-2-1,0.3,0.7066666666666668,0.6305554571330712
