arch,lambdaval,acc,fone
9-2-1,0.01,0.8026978988129244,0.7176754155098847
9-2-1,0.05,0.8015869993017203,0.7162065642392041
9-2-1,0.1,0.8038405383101631,0.7211978774345085
9-2-1,0.3,0.8015806513045135,0.7163315871692573
9-4-1,0.01,0.8027042468101314,0.7193717497778918
9-4-1,0.05,0.804964133815781,0.720608969943589
9-4-1,0.1,0.8061004253158128,0.7225709547651413
9-4-1,0.3,0.8061004253158128,0.7232590823586167
9-8-1,0.01,0.8060940773186059,0.7228312072357339
9-8-1,0.05,0.8049641338157812,0.7208053509115968
9-8-1,0.1,0.8027105948073384,0.7175286353559043
9-8-1,0.3,0.8072240208214309,0.7264497706740074
9-16-1,0.01,0.8072113248270171,0.7240779888609528
9-16-1,0.05,0.8049641338157812,0.7207232454069346
9-16-1,0.1,0.808341268329842,0.7261369923597008
9-16-1,0.3,0.8049704818129879,0.7222092135922125
9-8-4-1,0.01,0.8038341903129563,0.7204617337098773
9-8-4-1,0.05,0.8049577858185742,0.721746902665551
9-8-4-1,0.1,0.8027042468101314,0.7201910022100475
9-8-4-1,0.3,0.8060940773186059,0.7235464016375781
9-16-8-4-1,0.01,0.8038341903129563,0.7195791747154087
9-16-8-4-1,0.05,0.8049514378213674,0.720881405841025
9-16-8-4-1,0.1,0.8038405383101631,0.7204298282793625
9-16-8-4-1,0.3,0.8049641338157812,0.7214384398087788
9-16-8-4-2-1,0.01,0.8015743033073066,0.7128897625385785
9-16-8-4-2-1,0.05,0.7970545292960072,0.7076451345000812
9-16-8-4-2-1,0.1,0.7903446962483336,0.706358451266478
9-16-8-4-2-1,0.3,0.7003110518631372,0.2974284044418468
