arch,lambdaval,acc,fone
30-2-1,0.01,0.9789765294343976,0.9833888165195156
30-2-1,0.05,0.977206617929973,0.9819902151209142
30-2-1,0.1,0.9754367064255484,0.9806110387417378
30-2-1,0.3,0.9754367064255484,0.9806106368447842
30-4-1,0.01,0.9754367064255484,0.9805719151110648
30-4-1,0.05,0.977206617929973,0.9819703768032036
30-4-1,0.1,0.9789765294343976,0.9833888165195156
30-4-1,0.3,0.9754367064255484,0.9806110387417378
30-8-1,0.01,0.9754367064255484,0.9806293806346212
30-8-1,0.05,0.9772066179299732,0.9820478203509332
30-8-1,0.1,0.977206617929973,0.9819902151209142
30-8-1,0.3,0.9736975759907658,0.9792700425731556
30-16-1,0.01,0.9736667949211236,0.9792309189424824
30-16-1,0.05,0.9754367064255484,0.9805719151110648
30-16-1,0.1,0.9736667949211236,0.9791930123237114
30-16-1,0.3,0.9754367064255484,0.9806110387417378
30-8-4-1,0.01,0.9789149672951136,0.983292456512489
30-8-4-1,0.05,0.9771758368603308,0.981874831991416
30-8-4-1,0.1,0.9736667949211236,0.9791925990254258
30-8-4-1,0.3,0.9754367064255484,0.9805719151110648
30-16-8-4-1,0.01,0.9058407079646018,0.9387588497681472
30-16-8-4-1,0.05,0.9754059253559062,0.9805345056510898
30-16-8-4-1,0.1,0.9718661023470564,0.9776976262184658
30-16-8-4-1,0.3,0.9736667949211236,0.9793247495781852
30-16-8-4-2-1,0.01,0.6987302808772604,0.8143144474206381
30-16-8-4-2-1,0.05,0.6274259330511736,0.7710648686352012
30-16-8-4-2-1,0.1,0.6964524817237399,0.8125212383524405
30-16-8-4-2-1,0.3,0.6274259330511736,0.7710648686352012
